,value
2021-02-02 01:55:48,49
2021-02-02 01:55:58,50
2021-02-02 01:56:03,51
2021-02-02 01:56:08,52
2021-02-02 01:56:13,51
2021-02-02 01:56:28,52
2021-02-02 01:56:43,52
2021-02-02 01:56:53,53
2021-02-02 01:56:58,52
2021-02-02 01:57:03,51
2021-02-02 01:57:18,53
2021-02-02 01:57:23,54
2021-02-02 01:57:28,53
2021-02-02 01:57:38,52
2021-02-02 01:57:53,52
2021-02-02 01:58:03,51
2021-02-02 01:58:08,50
2021-02-02 01:58:23,50
2021-02-02 01:58:28,51
2021-02-02 01:58:33,52
2021-02-02 01:58:43,51
2021-02-02 01:58:58,51
2021-02-02 01:59:08,50
2021-02-02 01:59:13,51
2021-02-02 01:59:28,50
2021-02-02 01:59:33,49
2021-02-02 01:59:38,50
2021-02-02 01:59:53,50
2021-02-02 01:59:58,51
2021-02-02 02:00:03,52
2021-02-02 02:00:18,51
2021-02-02 02:00:33,52
2021-02-02 02:00:38,51
2021-02-02 02:00:53,51
2021-02-02 02:00:58,52
2021-02-02 02:01:03,51
2021-02-02 02:01:08,50
2021-02-02 02:01:23,51
2021-02-02 02:01:28,52
2021-02-02 02:01:33,51
2021-02-02 02:01:38,50
2021-02-02 02:01:53,51
2021-02-02 02:02:08,52
2021-02-02 02:02:23,51
2021-02-02 02:02:28,50
2021-02-02 02:02:43,51
2021-02-02 02:02:48,52
2021-02-02 02:02:53,51
2021-02-02 02:03:08,51
2021-02-02 02:03:18,50
2021-02-02 02:03:33,50
2021-02-02 02:03:48,51
2021-02-02 02:03:53,50
2021-02-02 02:04:08,51
2021-02-02 02:04:13,52
2021-02-02 02:04:18,51
2021-02-02 02:04:23,52
2021-02-02 02:04:28,51
2021-02-02 02:04:43,51
2021-02-02 02:04:48,52
2021-02-02 02:04:53,53
2021-02-02 02:05:03,52
2021-02-02 02:05:13,53
2021-02-02 02:05:23,52
2021-02-02 02:05:28,50
2021-02-02 02:05:33,50
2021-02-02 02:05:48,51
2021-02-02 02:05:53,52
2021-02-02 02:06:08,52
2021-02-02 02:06:18,51
2021-02-02 02:06:23,49
2021-02-02 02:06:38,50
2021-02-02 02:06:48,51
2021-02-02 02:06:53,52
2021-02-02 02:06:58,53
2021-02-02 02:07:03,52
2021-02-02 02:07:08,51
2021-02-02 02:07:13,50
2021-02-02 02:07:23,51
2021-02-02 02:07:28,52
2021-02-02 02:07:33,51
2021-02-02 02:07:48,51
2021-02-02 02:07:53,52
2021-02-02 02:07:58,51
2021-02-02 02:08:03,52
2021-02-02 02:08:18,51
2021-02-02 02:08:33,51
2021-02-02 02:08:48,52
2021-02-02 02:08:58,51
2021-02-02 02:09:13,52
2021-02-02 02:09:18,51
2021-02-02 02:09:33,51
2021-02-02 02:09:38,51
2021-02-02 02:09:43,52
2021-02-02 02:09:48,53
2021-02-02 02:09:53,52
2021-02-02 02:09:58,51
2021-02-02 02:10:08,52
2021-02-02 02:10:13,53
2021-02-02 02:10:18,54
2021-02-02 02:10:23,53
2021-02-02 02:10:28,52
2021-02-02 02:10:33,51
2021-02-02 02:10:38,50
2021-02-02 02:10:53,51
2021-02-02 02:10:58,52
2021-02-02 02:11:03,53
