,value
2021-02-02 04:39:03,48
2021-02-02 04:39:08,49
2021-02-02 04:39:23,49
2021-02-02 04:39:33,50
2021-02-02 04:39:48,50
2021-02-02 04:39:56,49
2021-02-02 04:40:01,48
2021-02-02 04:40:06,48
2021-02-02 04:40:21,48
2021-02-02 04:40:26,49
2021-02-02 04:40:41,48
2021-02-02 04:40:46,47
2021-02-02 04:41:01,48
2021-02-02 04:41:11,49
2021-02-02 04:41:16,50
2021-02-02 04:41:26,49
2021-02-02 04:41:31,48
2021-02-02 04:41:46,48
2021-02-02 04:41:51,49
2021-02-02 04:42:06,49
2021-02-02 04:42:21,49
2021-02-02 04:42:36,49
2021-02-02 04:42:51,49
2021-02-02 04:43:06,49
2021-02-02 04:43:21,49
2021-02-02 04:43:36,49
2021-02-02 04:43:46,47
2021-02-02 04:43:56,48
2021-02-02 04:44:01,49
2021-02-02 04:44:06,48
2021-02-02 04:44:16,49
2021-02-02 04:44:25,49
2021-02-02 04:44:40,50
2021-02-02 04:44:55,50
2021-02-02 04:45:00,49
2021-02-02 04:45:05,48
2021-02-02 04:45:20,48
2021-02-02 04:45:25,49
2021-02-02 04:45:30,50
2021-02-02 04:45:40,49
2021-02-02 04:45:55,49
2021-02-02 04:46:00,50
2021-02-02 04:46:05,49
2021-02-02 04:46:10,48
2021-02-02 04:46:20,47
2021-02-02 04:46:35,48
2021-02-02 04:46:40,49
2021-02-02 04:46:55,48
2021-02-02 04:47:10,48
2021-02-02 04:47:20,49
2021-02-02 04:47:30,48
2021-02-02 04:47:45,48
2021-02-02 04:48:00,48
2021-02-02 04:48:15,48
2021-02-02 04:48:30,48
2021-02-02 04:48:40,49
2021-02-02 04:48:45,48
2021-02-02 04:49:00,48
2021-02-02 04:49:05,48
2021-02-02 04:49:10,49
2021-02-02 04:49:15,48
2021-02-02 04:49:20,47
2021-02-02 04:49:35,48
2021-02-02 04:49:45,49
2021-02-02 04:50:00,48
2021-02-02 04:50:15,48
2021-02-02 04:50:20,47
2021-02-02 04:50:35,48
2021-02-02 04:50:45,47
2021-02-02 04:51:00,47
2021-02-02 04:51:15,47
2021-02-02 04:51:25,48
2021-02-02 04:51:40,48
2021-02-02 04:51:45,47
2021-02-02 04:52:00,48
2021-02-02 04:52:05,47
2021-02-02 04:52:20,47
2021-02-02 04:52:35,48
2021-02-02 04:52:45,47
2021-02-02 04:53:00,47
2021-02-02 04:53:05,48
2021-02-02 04:53:15,49
2021-02-02 04:53:20,48
2021-02-02 04:53:30,47
2021-02-02 04:53:40,48
2021-02-02 04:53:45,48
2021-02-02 04:54:00,48
2021-02-02 04:54:15,48
2021-02-02 04:54:20,47
2021-02-02 04:54:35,47
2021-02-02 04:54:50,47
2021-02-02 04:55:05,47
2021-02-02 04:55:10,46
2021-02-02 04:55:15,45
2021-02-02 04:55:30,46
2021-02-02 04:55:40,47
2021-02-02 04:55:55,48
2021-02-02 04:56:10,48
2021-02-02 04:56:15,47
2021-02-02 04:56:30,47
2021-02-02 04:56:45,46
2021-02-02 04:57:00,46
2021-02-02 04:57:10,48
2021-02-02 04:57:15,47
2021-02-02 04:57:30,48
2021-02-02 04:57:45,48
2021-02-02 04:58:00,48
2021-02-02 04:58:15,48
2021-02-02 04:58:25,47
2021-02-02 04:58:40,47
2021-02-02 04:58:45,46
2021-02-02 04:59:00,46
2021-02-02 04:59:05,46
2021-02-02 04:59:10,45
2021-02-02 04:59:25,46
2021-02-02 04:59:30,47
2021-02-02 04:59:45,47
2021-02-02 05:00:00,47
2021-02-02 05:00:05,46
2021-02-02 05:00:20,46
2021-02-02 05:00:25,47
2021-02-02 05:00:40,47
2021-02-02 05:00:50,48
2021-02-02 05:00:55,47
2021-02-02 05:01:05,46
2021-02-02 05:01:20,46
2021-02-02 05:01:25,48
2021-02-02 05:01:30,47
2021-02-02 05:01:40,46
2021-02-02 05:01:55,47
2021-02-02 05:02:10,48
2021-02-02 05:02:15,47
2021-02-02 05:02:30,47
2021-02-02 05:02:45,47
2021-02-02 05:03:00,47
2021-02-02 05:03:05,48
2021-02-02 05:03:20,48
2021-02-02 05:03:25,47
2021-02-02 05:03:30,46
2021-02-02 05:03:35,46
2021-02-02 05:03:45,47
2021-02-02 05:03:55,48
2021-02-02 05:04:05,47
2021-02-02 05:04:20,47
2021-02-02 05:04:25,48
2021-02-02 05:04:35,47
2021-02-02 05:04:50,47
2021-02-02 05:05:00,48
2021-02-02 05:05:10,47
2021-02-02 05:05:25,47
2021-02-02 05:05:40,47
2021-02-02 05:05:55,47
2021-02-02 05:06:05,46
2021-02-02 05:06:15,45
2021-02-02 05:06:30,46
2021-02-02 05:06:35,47
2021-02-02 05:06:40,48
2021-02-02 05:06:55,47
2021-02-02 05:07:00,46
2021-02-02 05:07:15,46
2021-02-02 05:07:20,45
2021-02-02 05:07:25,44
2021-02-02 05:07:40,45
2021-02-02 05:07:50,46
2021-02-02 05:08:05,46
2021-02-02 05:08:10,47
2021-02-02 05:08:15,48
2021-02-02 05:08:20,47
2021-02-02 05:08:25,46
2021-02-02 05:08:40,47
2021-02-02 05:08:50,46
2021-02-02 05:09:00,47
2021-02-02 05:09:10,48
2021-02-02 05:09:25,47
2021-02-02 05:09:40,47
2021-02-02 05:09:45,48
2021-02-02 05:09:50,47
2021-02-02 05:09:55,47
2021-02-02 05:10:00,47
2021-02-02 05:10:15,47
2021-02-02 05:10:20,46
2021-02-02 05:10:35,46
2021-02-02 05:10:50,46
2021-02-02 05:11:05,46
2021-02-02 05:11:10,48
2021-02-02 05:11:20,47
2021-02-02 05:11:25,46
2021-02-02 05:11:40,46
